# name:     copper                                               Feff 8.20   
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  20  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.411 Rnm= 1.456 K  shell
# Pot 1 Z=29 Rmt= 1.358 Rnm= 1.395
# Gam_ch=1.729E+00 H-L exch
# Mu=-7.652E+00 kf=1.985E+00 Vint=-1.668E+01 Rs_int= 1.827
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp= 293.00  Debye_temp= 340.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00764    100.00     12.00     2   2.5527
#           2       0.00944     22.94      6.00     2   3.6100
#           3       0.00860      9.37     48.00     3   3.8290
#           4       0.00952      6.73     48.00     3   4.3577
#           5       0.00972     55.47     24.00     2   4.4213
#           6       0.00976     10.64     48.00     3   4.7633
#           7       0.00976     16.26     96.00     3   4.7633
#           8       0.00985     18.93     12.00     2   5.1053
#           9       0.00985      8.22     12.00     3   5.1053
#          10       0.00985     43.98     24.00     3   5.1053
#          11       0.00985      9.05     12.00     4   5.1053
#          14       0.00985     36.87     12.00     4   5.1053
#          16       0.01007     27.78     24.00     2   5.7079
#          17       0.01021      8.55     48.00     3   5.9353
#          18       0.01021      5.48     48.00     3   5.9353
#          19       0.01021      5.92     48.00     3   5.9353
#    16/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     9.1500    1.996076E-02  2.813503E-02  4.633515E+01
     9.2000    1.317634E-02  2.669396E-02  4.660766E+01
     9.2500    6.216912E-03  2.502762E-02  4.687286E+01
     9.3000   -9.233270E-05  2.322057E-02  4.712787E+01
     9.3500   -5.198552E-03  2.136626E-02  4.736966E+01
     9.4000   -8.886053E-03  1.956399E-02  4.759537E+01
     9.4500   -1.124957E-02  1.791411E-02  4.780284E+01
     9.5000   -1.259531E-02  1.650959E-02  4.799169E+01
     9.5500   -1.335270E-02  1.546531E-02  4.816585E+01
     9.6000   -1.379032E-02  1.477004E-02  4.832841E+01
     9.6500   -1.412240E-02  1.442913E-02  4.848813E+01
     9.7000   -1.438605E-02  1.439782E-02  4.865425E+01
     9.7500   -1.445443E-02  1.459506E-02  4.883362E+01
     9.8000   -1.409852E-02  1.492661E-02  4.902934E+01
     9.8500   -1.307449E-02  1.530502E-02  4.924135E+01
     9.9000   -1.120961E-02  1.566032E-02  4.946772E+01
     9.9500   -8.464163E-03  1.594282E-02  4.970581E+01
    10.0000   -4.955868E-03  1.612134E-02  4.995301E+01
    10.0500   -9.755223E-04  1.634513E-02  5.020576E+01
    10.1000    3.250852E-03  1.646769E-02  5.046420E+01
    10.1500    7.341989E-03  1.648341E-02  5.072712E+01
    10.2000    1.090774E-02  1.639039E-02  5.099364E+01
    10.2500    1.360135E-02  1.618887E-02  5.126307E+01
    10.3000    1.516434E-02  1.588005E-02  5.153491E+01
    10.3500    1.545953E-02  1.546540E-02  5.180873E+01
    10.4000    1.448954E-02  1.494635E-02  5.208415E+01
    10.4500    1.239899E-02  1.432438E-02  5.236075E+01
    10.5000    9.459358E-03  1.360138E-02  5.263800E+01
    10.5500    6.036581E-03  1.278030E-02  5.291514E+01
    10.6000    2.543157E-03  1.186584E-02  5.319107E+01
    10.6500   -6.202949E-04  1.086544E-02  5.346419E+01
    10.7000   -3.125942E-03  9.790265E-03  5.373206E+01
    10.7500   -4.771388E-03  8.656645E-03  5.399086E+01
    10.8000   -5.512689E-03  7.488233E-03  5.423448E+01
    10.8500   -5.468637E-03  6.320006E-03  5.445280E+01
    10.9000   -4.892329E-03  5.206360E-03  5.462878E+01
    10.9500   -4.113351E-03  4.236911E-03  5.473577E+01
    11.0000   -3.461448E-03  3.556236E-03  5.474647E+01
    11.0500   -3.205420E-03  3.350895E-03  5.468213E+01
    11.1000   -3.444884E-03  3.660542E-03  5.463290E+01
    11.1500   -4.167541E-03  4.358998E-03  5.468039E+01
    11.2000   -5.195293E-03  5.258673E-03  5.482246E+01
    11.2500   -6.219069E-03  6.227179E-03  5.502891E+01
    11.3000   -6.868343E-03  7.185216E-03  5.527596E+01
    11.3500   -6.800525E-03  8.083376E-03  5.554899E+01
    11.4000   -5.789587E-03  8.888328E-03  5.583928E+01
    11.4500   -3.792392E-03  9.576333E-03  5.614149E+01
    11.5000   -9.756912E-04  1.013030E-02  5.645220E+01
    11.5500    2.304381E-03  1.053841E-02  5.676911E+01
    11.6000    5.567172E-03  1.079349E-02  5.709060E+01
    11.6500    8.302860E-03  1.089262E-02  5.741544E+01
    11.7000    1.007679E-02  1.083686E-02  5.774271E+01
    11.7500    1.061888E-02  1.063106E-02  5.807158E+01
    11.8000    9.877686E-03  1.028356E-02  5.840135E+01
    11.8500    8.026952E-03  9.805868E-03  5.873131E+01
    11.9000    5.423983E-03  9.212358E-03  5.906072E+01
    11.9500    2.530417E-03  8.519830E-03  5.938871E+01
    12.0000   -1.854039E-04  7.747108E-03  5.971419E+01
    12.0500   -2.404381E-03  7.064278E-03  6.003756E+01
    12.1000   -3.902812E-03  6.319478E-03  6.035593E+01
    12.1500   -4.581251E-03  5.529810E-03  6.066662E+01
    12.2000   -4.509532E-03  4.714203E-03  6.096531E+01
    12.2500   -3.893667E-03  3.894201E-03  6.124451E+01
    12.3000   -3.015303E-03  3.096281E-03  6.149027E+01
    12.3500   -2.159323E-03  2.358350E-03  6.167484E+01
    12.4000   -1.547213E-03  1.747176E-03  6.174418E+01
    12.4500   -1.291419E-03  1.388143E-03  6.163657E+01
    12.5000   -1.380106E-03  1.405556E-03  6.145164E+01
    12.5500   -1.693778E-03  1.713455E-03  6.141275E+01
    12.6000   -2.047412E-03  2.125378E-03  6.153275E+01
    12.6500   -2.245915E-03  2.534939E-03  6.174324E+01
    12.7000   -2.138157E-03  2.896299E-03  6.200140E+01
    12.7500   -1.656182E-03  3.189185E-03  6.228581E+01
    12.8000   -8.307366E-04  3.404672E-03  6.258537E+01
    12.8500    2.192021E-04  3.539907E-03  6.289382E+01
    12.9000    1.318509E-03  3.595946E-03  6.320728E+01
    12.9500    2.280051E-03  3.576703E-03  6.352307E+01
    13.0000    2.948945E-03  3.488346E-03  6.383911E+01
    13.0500    3.303291E-03  3.407880E-03  6.415426E+01
    13.1000    3.267134E-03  3.273817E-03  6.446656E+01
    13.1500    2.882326E-03  3.093255E-03  6.477408E+01
    13.2000    2.249798E-03  2.874546E-03  6.507451E+01
    13.2500    1.501911E-03  2.627249E-03  6.536491E+01
    13.3000    7.701673E-04  2.362183E-03  6.564133E+01
    13.3500    1.565839E-04  2.091621E-03  6.589851E+01
    13.4000   -2.845257E-04  1.829645E-03  6.612959E+01
    13.4500   -5.508128E-04  1.592522E-03  6.632662E+01
    13.5000   -6.825261E-04  1.398441E-03  6.648331E+01
    13.5500   -7.433554E-04  1.264866E-03  6.660165E+01
    13.6000   -7.975638E-04  1.201852E-03  6.669908E+01
    13.6500   -8.899367E-04  1.204698E-03  6.680462E+01
    13.7000   -1.033745E-03  1.254632E-03  6.694178E+01
    13.7500   -1.209285E-03  1.328040E-03  6.711813E+01
    13.8000   -1.372434E-03  1.404681E-03  6.732955E+01
    13.8500   -1.469933E-03  1.470350E-03  6.756807E+01
    13.9000   -1.456493E-03  1.516273E-03  6.782598E+01
    13.9500   -1.308731E-03  1.537770E-03  6.809704E+01
    14.0000   -1.032215E-03  1.533134E-03  6.837641E+01
    14.0500   -6.752166E-04  1.537934E-03  6.866051E+01
    14.1000   -2.546609E-04  1.520360E-03  6.894674E+01
    14.1500    1.735828E-04  1.481860E-03  6.923245E+01
    14.2000    5.549150E-04  1.424850E-03  6.951508E+01
    14.2500    8.473660E-04  1.352557E-03  6.979208E+01
    14.3000    1.028983E-03  1.268915E-03  7.006075E+01
    14.3500    1.099713E-03  1.178460E-03  7.031819E+01
    14.4000    1.077828E-03  1.086227E-03  7.056140E+01
    14.4500    9.924234E-04  9.975885E-04  7.078764E+01
    14.5000    8.743784E-04  9.179584E-04  7.099521E+01
    14.5500    7.483883E-04  8.522406E-04  7.118467E+01
    14.6000    6.280720E-04  8.039869E-04  7.136005E+01
    14.6500    5.151082E-04  7.744658E-04  7.152898E+01
    14.7000    4.021175E-04  7.621671E-04  7.170086E+01
