 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.254 Rnm= 1.300 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.043
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.608E+01 Rs_int= 1.514
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7365.639    255.763   8.100  9.77412E-01  9.65190E-01  1.26087E-02
    7368.734    258.858   8.150  9.75787E-01  9.64428E-01  1.17315E-02
    7371.849    261.973   8.200  9.73915E-01  9.63666E-01  1.05958E-02
    7374.983    265.107   8.250  9.71840E-01  9.62905E-01  9.24755E-03
    7378.136    268.260   8.300  9.69606E-01  9.62143E-01  7.73226E-03
    7381.307    271.431   8.350  9.67256E-01  9.61382E-01  6.09292E-03
    7384.498    274.622   8.400  9.64827E-01  9.60620E-01  4.36880E-03
    7387.708    277.832   8.450  9.62355E-01  9.59858E-01  2.59521E-03
    7390.937    281.061   8.500  9.59869E-01  9.59097E-01  8.04189E-04
    7394.185    284.309   8.550  9.56537E-01  9.57519E-01 -1.02398E-03
    7397.452    287.576   8.600  9.53229E-01  9.55941E-01 -2.83325E-03
    7400.738    290.862   8.650  9.49977E-01  9.54364E-01 -4.58944E-03
    7404.043    294.167   8.700  9.46818E-01  9.52786E-01 -6.25571E-03
    7407.368    297.492   8.750  9.43788E-01  9.51208E-01 -7.79209E-03
    7410.711    300.835   8.800  9.40928E-01  9.49630E-01 -9.15575E-03
    7414.073    304.197   8.850  9.38279E-01  9.48053E-01 -1.03021E-02
    7417.455    307.579   8.900  9.35881E-01  9.46475E-01 -1.11867E-02
    7420.855    310.979   8.950  9.33773E-01  9.44897E-01 -1.17679E-02
    7424.274    314.398   9.000  9.31988E-01  9.43320E-01 -1.20100E-02
    7427.713    317.837   9.050  9.30382E-01  9.41578E-01 -1.18876E-02
    7431.171    321.295   9.100  9.29127E-01  9.39835E-01 -1.13926E-02
    7434.647    324.771   9.150  9.28220E-01  9.38093E-01 -1.05242E-02
    7438.143    328.267   9.200  9.27646E-01  9.36351E-01 -9.29734E-03
    7441.658    331.782   9.250  9.27373E-01  9.34608E-01 -7.74314E-03
    7445.191    335.315   9.300  9.27355E-01  9.32866E-01 -5.90881E-03
    7448.744    338.868   9.350  9.27535E-01  9.31124E-01 -3.85599E-03
