# data from ifeffit
#------------------------
#   k         chi       k         chi         dchi         win
  14.700000      -0.19626439E-02    14.700000      -0.19626439E-02   0.72288996E-02    0.0000000
  14.750000      -0.26085249E-02    14.750000      -0.26085249E-02   0.73068717E-02    0.0000000
  14.800000      -0.27342634E-02    14.800000      -0.27342634E-02   0.72479010E-02    0.0000000
  14.850000      -0.27799230E-02    14.850000      -0.27799230E-02   0.73551888E-02    0.0000000
  14.900000      -0.28300770E-02    14.900000      -0.28300770E-02   0.74026683E-02    0.0000000
  14.950000      -0.30853501E-02    14.950000      -0.30853501E-02   0.73190495E-02    0.0000000
  15.000000      -0.41299471E-02    15.000000      -0.41299471E-02   0.74342601E-02    0.0000000
  15.050000      -0.27342634E-02    15.050000      -0.27342634E-02   0.74074142E-02    0.0000000
  15.100000      -0.27799230E-02    15.100000      -0.27799230E-02   0.74495456E-02    0.0000000
  15.150000      -0.28300770E-02    15.150000      -0.28300770E-02   0.74916991E-02    0.0000000
  15.200000        0.0000000        15.200000      -0.30853501E-02   0.74095121E-02    0.0000000
