# name:     copper                                               Feff 8.20   
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  20  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.411 Rnm= 1.456 K  shell
# Pot 1 Z=29 Rmt= 1.358 Rnm= 1.395
# Gam_ch=1.729E+00 H-L exch
# Mu=-7.652E+00 kf=1.985E+00 Vint=-1.668E+01 Rs_int= 1.827
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp= 293.00  Debye_temp= 340.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00764    100.00     12.00     2   2.5527
#           2       0.00944     22.94      6.00     2   3.6100
#           3       0.00860      9.37     48.00     3   3.8290
#           4       0.00952      6.73     48.00     3   4.3577
#           5       0.00972     55.47     24.00     2   4.4213
#           6       0.00976     10.64     48.00     3   4.7633
#           7       0.00976     16.26     96.00     3   4.7633
#           8       0.00985     18.93     12.00     2   5.1053
#           9       0.00985      8.22     12.00     3   5.1053
#          10       0.00985     43.98     24.00     3   5.1053
#          11       0.00985      9.05     12.00     4   5.1053
#          14       0.00985     36.87     12.00     4   5.1053
#          16       0.01007     27.78     24.00     2   5.7079
#          17       0.01021      8.55     48.00     3   5.9353
#          18       0.01021      5.48     48.00     3   5.9353
#          19       0.01021      5.92     48.00     3   5.9353
#    16/  17 paths used
#  xsedge+50, used to normalize mu           2.4907E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9034.499     41.725   3.600  9.85592E-01  9.93547E-01 -7.95673E-03
    9035.880     43.107   3.650  9.74322E-01  9.94197E-01 -1.98691E-02
    9037.280     44.507   3.700  9.64240E-01  9.94848E-01 -3.05818E-02
    9038.699     45.926   3.750  9.56572E-01  9.95498E-01 -3.88730E-02
    9040.137     47.364   3.800  9.52082E-01  9.96149E-01 -4.39823E-02
    9041.595     48.821   3.850  9.50810E-01  9.96809E-01 -4.58858E-02
    9043.071     50.298   3.900  9.53054E-01  9.97470E-01 -4.42817E-02
    9044.567     51.793   3.950  9.58255E-01  9.98130E-01 -3.97325E-02
    9046.081     53.308   4.000  9.65411E-01  9.98791E-01 -3.32422E-02
    9047.615     54.841   4.050  9.73675E-01  9.99352E-01 -2.55593E-02
    9049.167     56.394   4.100  9.81695E-01  9.99912E-01 -1.81259E-02
    9050.739     57.965   4.150  9.88429E-01  1.00047E+00 -1.19774E-02
    9052.329     59.556   4.200  9.93280E-01  1.00103E+00 -7.70725E-03
    9053.939     61.166   4.250  9.96516E-01  1.00141E+00 -4.85848E-03
    9055.568     62.795   4.300  9.98314E-01  1.00178E+00 -3.44002E-03
    9057.216     64.442   4.350  9.99600E-01  1.00215E+00 -2.53100E-03
    9058.883     66.109   4.400  1.00157E+00  1.00252E+00 -9.43244E-04
    9060.569     67.795   4.450  1.00503E+00  1.00264E+00  2.37497E-03
    9062.274     69.500   4.500  1.01082E+00  1.00277E+00  7.99507E-03
    9063.998     71.224   4.550  1.01918E+00  1.00289E+00  1.61704E-02
    9065.741     72.967   4.600  1.02971E+00  1.00301E+00  2.65022E-02
    9067.503     74.729   4.650  1.04066E+00  1.00288E+00  3.75096E-02
    9069.284     76.511   4.700  1.05116E+00  1.00276E+00  4.80761E-02
    9071.084     78.311   4.750  1.05965E+00  1.00263E+00  5.66459E-02
    9072.903     80.130   4.800  1.06469E+00  1.00251E+00  6.17920E-02
    9074.742     81.968   4.850  1.06486E+00  1.00214E+00  6.23510E-02
    9076.599     83.826   4.900  1.06040E+00  1.00178E+00  5.83019E-02
    9078.475     85.702   4.950  1.05160E+00  1.00142E+00  4.99328E-02
    9080.371     87.598   5.000  1.03933E+00  1.00105E+00  3.80999E-02
    9082.285     89.512   5.050  1.02470E+00  1.00052E+00  2.40782E-02
    9084.219     91.446   5.100  1.00926E+00  9.99992E-01  9.23914E-03
    9086.172     93.398   5.150  9.94212E-01  9.99461E-01 -5.23480E-03
    9088.143     95.370   5.200  9.80424E-01  9.98931E-01 -1.84678E-02
    9090.134     97.361   5.250  9.68261E-01  9.98284E-01 -2.99812E-02
    9092.144     99.370   5.300  9.57953E-01  9.97637E-01 -3.96577E-02
    9094.173    101.399   5.350  9.49400E-01  9.96990E-01 -4.75933E-02
    9096.220    103.447   5.400  9.42448E-01  9.96343E-01 -5.39376E-02
    9098.287    105.514   5.450  9.37125E-01  9.95660E-01 -5.86271E-02
    9100.373    107.600   5.500  9.33528E-01  9.94977E-01 -6.15932E-02
    9102.478    109.705   5.550  9.31991E-01  9.94295E-01 -6.24967E-02
    9104.602    111.829   5.600  9.32945E-01  9.93612E-01 -6.09016E-02
    9106.746    113.972   5.650  9.36944E-01  9.92945E-01 -5.62583E-02
    9108.908    116.134   5.700  9.43946E-01  9.92277E-01 -4.85885E-02
    9111.089    118.316   5.750  9.53740E-01  9.91609E-01 -3.80988E-02
    9113.289    120.516   5.800  9.65745E-01  9.90942E-01 -2.53680E-02
    9115.509    122.735   5.850  9.79186E-01  9.90329E-01 -1.12266E-02
    9117.747    124.974   5.900  9.92912E-01  9.89717E-01  3.22034E-03
    9120.004    127.231   5.950  1.00601E+00  9.89105E-01  1.70490E-02
    9122.281    129.507   6.000  1.01782E+00  9.88493E-01  2.96009E-02
    9124.576    131.803   6.050  1.02817E+00  9.88006E-01  4.05625E-02
    9126.891    134.118   6.100  1.03695E+00  9.87519E-01  4.99516E-02
    9129.224    136.451   6.150  1.04437E+00  9.87032E-01  5.79729E-02
    9131.577    138.804   6.200  1.05058E+00  9.86545E-01  6.47774E-02
    9133.949    141.176   6.250  1.05544E+00  9.86059E-01  7.02278E-02
    9136.340    143.566   6.300  1.05839E+00  9.85572E-01  7.37429E-02
    9138.749    145.976   6.350  1.05841E+00  9.85085E-01  7.42897E-02
    9141.178    148.405   6.400  1.05420E+00  9.84598E-01  7.05572E-02
    9143.626    150.853   6.450  1.04454E+00  9.84111E-01  6.12932E-02
    9146.093    153.320   6.500  1.02869E+00  9.83624E-01  4.57334E-02
    9148.579    155.806   6.550  1.00642E+00  9.83177E-01  2.36024E-02
    9151.084    158.311   6.600  9.79565E-01  9.82729E-01 -3.21455E-03
    9153.608    160.835   6.650  9.50726E-01  9.82282E-01 -3.20702E-02
    9156.152    163.378   6.700  9.23355E-01  9.81834E-01 -5.94609E-02
    9158.714    165.940   6.750  9.01168E-01  9.81387E-01 -8.16049E-02
    9161.295    168.522   6.800  8.87430E-01  9.80939E-01 -9.51700E-02
    9163.895    171.122   6.850  8.84259E-01  9.80492E-01 -9.79898E-02
