 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.252 Rnm= 1.298 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.042
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.609E+01 Rs_int= 1.513
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7474.155    364.271   9.700  9.29932E-01  9.21537E-01  9.11057E-03
    7477.861    367.977   9.750  9.29656E-01  9.20178E-01  1.02993E-02
    7481.585    371.701   9.800  9.29043E-01  9.18819E-01  1.11253E-02
    7485.328    375.444   9.850  9.28069E-01  9.17460E-01  1.15599E-02
    7489.090    379.207   9.900  9.26723E-01  9.16101E-01  1.15902E-02
    7492.872    382.988   9.950  9.25010E-01  9.14743E-01  1.12196E-02
    7496.672    386.788  10.000  9.22950E-01  9.13384E-01  1.04678E-02
    7500.492    390.608  10.050  9.21922E-01  9.13366E-01  9.36805E-03
    7504.330    394.447  10.100  9.20635E-01  9.13349E-01  7.98325E-03
    7508.188    398.304  10.150  9.19145E-01  9.13331E-01  6.37328E-03
    7512.065    402.181  10.200  9.17512E-01  9.13314E-01  4.60560E-03
    7515.960    406.077  10.250  9.15804E-01  9.13296E-01  2.75198E-03
    7519.875    409.991  10.300  9.14085E-01  9.13279E-01  8.84942E-04
    7523.809    413.925  10.350  9.12419E-01  9.13261E-01 -9.25693E-04
    7527.762    417.878  10.400  9.10865E-01  9.13244E-01 -2.61607E-03
    7531.734    421.850  10.450  9.09472E-01  9.13226E-01 -4.13107E-03
    7535.725    425.841  10.500  9.08280E-01  9.13209E-01 -5.42639E-03
    7539.735    429.851  10.550  9.07319E-01  9.13191E-01 -6.46989E-03
    7543.764    433.880  10.600  9.06604E-01  9.13174E-01 -7.24197E-03
    7547.812    437.928  10.650  9.06144E-01  9.13156E-01 -7.73523E-03
    7551.879    441.995  10.700  9.05933E-01  9.13139E-01 -7.95336E-03
    7555.965    446.081  10.750  9.05960E-01  9.13121E-01 -7.90951E-03
    7560.070    450.187  10.800  9.06205E-01  9.13104E-01 -7.62441E-03
    7564.195    454.311  10.850  9.06643E-01  9.13086E-01 -7.12444E-03
    7568.338    458.454  10.900  9.07249E-01  9.13069E-01 -6.43984E-03
    7572.501    462.617  10.950  9.07990E-01  9.13052E-01 -5.60328E-03
    7576.682    466.798  11.000  9.08838E-01  9.13034E-01 -4.64877E-03
    7580.883    470.999  11.050  9.07133E-01  9.10410E-01 -3.63605E-03
    7585.102    475.218  11.100  9.05485E-01  9.07786E-01 -2.55713E-03
    7589.341    479.457  11.150  9.03864E-01  9.05162E-01 -1.44396E-03
    7593.598    483.714  11.200  9.02243E-01  9.02537E-01 -3.27981E-04
    7597.875    487.991  11.250  9.00594E-01  8.99913E-01  7.59740E-04
    7602.171    492.287  11.300  8.98889E-01  8.97289E-01  1.78863E-03
    7606.486    496.602  11.350  8.97102E-01  8.94665E-01  2.72901E-03
    7610.819    500.936  11.400  8.95208E-01  8.92041E-01  3.55300E-03
    7615.172    505.289  11.450  8.93187E-01  8.89417E-01  4.23570E-03
    7619.544    509.660  11.500  8.91020E-01  8.86792E-01  4.75663E-03
    7623.935    514.051  11.550  8.88695E-01  8.84168E-01  5.10124E-03
    7628.345    518.462  11.600  8.86206E-01  8.81544E-01  5.26210E-03
    7632.774    522.891  11.650  8.83555E-01  8.78920E-01  5.23970E-03
    7637.223    527.339  11.700  8.80749E-01  8.76296E-01  5.04264E-03
    7641.690    531.806  11.750  8.77805E-01  8.73672E-01  4.68710E-03
    7646.176    536.292  11.800  8.74741E-01  8.71047E-01  4.19567E-03
    7650.681    540.798  11.850  8.71584E-01  8.68423E-01  3.59567E-03
    7655.206    545.322  11.900  8.68359E-01  8.65799E-01  2.91713E-03
    7659.749    549.865  11.950  8.65095E-01  8.63175E-01  2.19067E-03
    7664.312    554.428  12.000  8.61816E-01  8.60551E-01  1.44562E-03
    7668.893    559.009  12.050  8.58564E-01  8.58005E-01  6.40176E-04
    7673.494    563.610  12.100  8.55336E-01  8.55460E-01 -1.41749E-04
    7678.113    568.229  12.150  8.52155E-01  8.52914E-01 -8.73406E-04
    7682.752    572.868  12.200  8.49036E-01  8.50369E-01 -1.53473E-03
    7687.410    577.526  12.250  8.45993E-01  8.47823E-01 -2.11216E-03
    7692.086    582.203  12.300  8.43031E-01  8.45278E-01 -2.59771E-03
    7696.782    586.898  12.350  8.40153E-01  8.42732E-01 -2.98761E-03
    7701.497    591.613  12.400  8.37360E-01  8.40187E-01 -3.28071E-03
    7706.231    596.347  12.450  8.34651E-01  8.37641E-01 -3.47703E-03
    7710.984    601.100  12.500  8.32026E-01  8.35096E-01 -3.57666E-03
    7715.756    605.872  12.550  8.29484E-01  8.32550E-01 -3.57917E-03
    7720.547    610.663  12.600  8.27026E-01  8.30005E-01 -3.48364E-03
    7725.357    615.473  12.650  8.24653E-01  8.27459E-01 -3.28917E-03
    7730.186    620.302  12.700  8.22362E-01  8.24913E-01 -2.99591E-03
    7735.034    625.151  12.750  8.20153E-01  8.22368E-01 -2.60620E-03
    7739.902    630.018  12.800  8.18019E-01  8.19822E-01 -2.12574E-03
    7744.788    634.904  12.850  8.15952E-01  8.17277E-01 -1.56459E-03
    7749.693    639.810  12.900  8.13939E-01  8.14731E-01 -9.37616E-04
    7754.618    644.734  12.950  8.11963E-01  8.12186E-01 -2.64599E-04
    7759.561    649.677  13.000  8.10002E-01  8.09640E-01  4.30388E-04
    7764.524    654.640  13.050  8.10338E-01  8.09426E-01  1.08601E-03
    7769.505    659.621  13.100  8.10638E-01  8.09211E-01  1.70042E-03
    7774.506    664.622  13.150  8.10884E-01  8.08997E-01  2.25094E-03
    7779.526    669.642  13.200  8.11057E-01  8.08782E-01  2.71729E-03
    7784.564    674.680  13.250  8.11145E-01  8.08567E-01  3.08259E-03
    7789.622    679.738  13.300  8.11137E-01  8.08353E-01  3.33413E-03
    7794.699    684.815  13.350  8.11027E-01  8.08138E-01  3.46396E-03
    7799.795    689.911  13.400  8.10813E-01  8.07924E-01  3.46910E-03
    7804.910    695.026  13.450  8.10497E-01  8.07709E-01  3.35160E-03
    7810.044    700.160  13.500  8.10085E-01  8.07495E-01  3.11822E-03
    7815.197    705.313  13.550  8.09587E-01  8.07280E-01  2.78008E-03
    7820.369    710.485  13.600  8.09015E-01  8.07065E-01  2.35200E-03
    7825.560    715.676  13.650  8.08383E-01  8.06851E-01  1.85181E-03
    7830.770    720.886  13.700  8.07710E-01  8.06636E-01  1.29954E-03
    7835.999    726.115  13.750  8.07013E-01  8.06422E-01  7.16587E-04
    7841.247    731.363  13.800  8.06310E-01  8.06207E-01  1.24840E-04
    7846.515    736.631  13.850  8.05619E-01  8.05993E-01 -4.54195E-04
    7851.801    741.917  13.900  8.04955E-01  8.05778E-01 -1.00022E-03
    7857.106    747.223  13.950  8.04336E-01  8.05563E-01 -1.49491E-03
    7862.431    752.547  14.000  8.03772E-01  8.05349E-01 -1.92254E-03
    7867.774    757.890  14.050  8.03020E-01  8.04876E-01 -2.26853E-03
    7873.137    763.253  14.100  8.02338E-01  8.04404E-01 -2.52903E-03
    7878.518    768.635  14.150  8.01733E-01  8.03932E-01 -2.69756E-03
    7883.919    774.035  14.200  8.01205E-01  8.03459E-01 -2.77127E-03
    7889.339    779.455  14.250  8.00753E-01  8.02987E-01 -2.75085E-03
    7894.778    784.894  14.300  8.00375E-01  8.02515E-01 -2.64044E-03
    7900.235    790.352  14.350  8.00063E-01  8.02042E-01 -2.44719E-03
    7905.712    795.828  14.400  7.99810E-01  8.01570E-01 -2.18091E-03
    7911.208    801.324  14.450  7.99605E-01  8.01098E-01 -1.85349E-03
    7916.723    806.839  14.500  7.99437E-01  8.00625E-01 -1.47833E-03
    7922.257    812.373  14.550  7.99295E-01  8.00153E-01 -1.06984E-03
    7927.810    817.926  14.600  7.99166E-01  7.99681E-01 -6.42891E-04
    7933.382    823.498  14.650  7.99039E-01  7.99208E-01 -2.12318E-04
    7938.973    829.090  14.700  7.98901E-01  7.98736E-01  2.07511E-04
    7944.584    834.700  14.750  7.98743E-01  7.98263E-01  6.03109E-04
    7950.213    840.329  14.800  7.98555E-01  7.97791E-01  9.62255E-04
    7955.861    845.977  14.850  7.98328E-01  7.97319E-01  1.27435E-03
    7961.528    851.645  14.900  7.98057E-01  7.96846E-01  1.53077E-03
    7967.215    857.331  14.950  7.97735E-01  7.96374E-01  1.72514E-03
    7972.920    863.036  15.000  7.97361E-01  7.95902E-01  1.85360E-03
    7978.645    868.761  15.050  7.96326E-01  7.94793E-01  1.95079E-03
    7984.388    874.505  15.100  7.95232E-01  7.93685E-01  1.97323E-03
    7990.151    880.267  15.150  7.94080E-01  7.92576E-01  1.92120E-03
    7995.933    886.049  15.200  7.92872E-01  7.91468E-01  1.79837E-03
    8001.733    891.850  15.250  7.91615E-01  7.90359E-01  1.61159E-03
    8007.553    897.669  15.300  7.90317E-01  7.89251E-01  1.37045E-03
    8013.392    903.508  15.350  7.88986E-01  7.88142E-01  1.08671E-03
    8019.250    909.366  15.400  7.87633E-01  7.87034E-01  7.73502E-04
    8025.127    915.243  15.450  7.86269E-01  7.85925E-01  4.44566E-04
    8031.023    921.139  15.500  7.84904E-01  7.84817E-01  1.13467E-04
    8036.938    927.054  15.550  7.83549E-01  7.83708E-01 -2.07117E-04
    8042.872    932.988  15.600  7.82211E-01  7.82600E-01 -5.05959E-04
    8048.825    938.941  15.650  7.80898E-01  7.81491E-01 -7.73682E-04
    8054.797    944.913  15.700  7.79616E-01  7.80383E-01 -1.00297E-03
