e (keV)         k		ksqchi         	ksqdchi			
8.534478038  7.3000000      -0.34454752       0.13061637
8.53728169  7.3500000      -0.29599088       0.13341037
8.540104479  7.4000000      -0.24159029       0.13514551
8.542946405  7.4500000      -0.17913743       0.13648377
8.54580747  7.5000000      -0.11264639       0.13782106
8.548687671  7.5500000      -0.46728111E-01   0.13932104
8.551587011  7.6000000       0.14068047E-01   0.14142205
8.554505487  7.6500000       0.63378744E-01   0.14354187
8.557443102  7.7000000       0.10491135       0.14568057
8.560399854  7.7500000       0.13791837       0.14885637
8.563375743  7.8000000       0.15939371       0.15235883
8.56637077  7.8500000       0.17133639       0.15591422
8.569384935  7.9000000       0.17527267       0.15866054
8.572418237  7.9500000       0.17112684       0.16027554
8.575470676  8.0000000       0.16014632       0.16189316
8.578542254  8.0500000       0.14596359       0.16365078
8.581632968  8.1000000       0.13227159       0.16630221
8.584742821  8.1500000       0.12588229       0.16898143
8.587871811  8.2000000       0.11904709       0.17168858
8.591019938  8.2500000       0.10992639       0.17951629
8.594187203  8.3000000       0.91350138E-01   0.18801667
8.597373606  8.3500000       0.69607638E-01   0.19668293
8.600579146  8.4000000       0.46799346E-01   0.19663345
8.603803823  8.4500000       0.27656868E-01   0.19353660
8.607047639  8.5000000       0.10092828E-01   0.19032445
8.610310591  8.5500000      -0.72205733E-02   0.19063116
8.613592682  8.6000000      -0.25989022E-01   0.19289153
8.61689391  8.6500000      -0.45390043E-01   0.19516551
8.620214275  8.7000000      -0.64390596E-01   0.19749079
8.623553778  8.7500000      -0.82530424E-01   0.19985615
8.626912419  8.8000000      -0.99106643E-01   0.20223659
8.630290197  8.8500000      -0.11334600       0.20428555
8.633687112  8.9000000      -0.12599960       0.20611151
8.637103165  8.9500000      -0.13444027       0.20793949
8.640538356  9.0000000      -0.13543957       0.20302497
8.643992684  9.0500000      -0.11992607       0.19442468
8.64746615  9.1000000      -0.94202669E-01   0.18559620
8.650958754  9.1500000      -0.64763197E-01   0.18391775
8.654470495  9.2000000      -0.39962293E-01   0.18447533
8.658001373  9.2500000      -0.17779053E-01   0.18501213
8.661551389  9.3000000       0.17294478E-02   0.18467135
8.665120543  9.3500000       0.12161612E-01   0.18420399
8.668708834  9.4000000       0.23536804E-01   0.18378600
8.672316263  9.4500000       0.42927356E-01   0.18415862
8.675942829  9.5000000       0.79500392E-01   0.18450793
8.679588533  9.5500000       0.11917532       0.18481695
8.683253374  9.6000000       0.15497120       0.18506824
8.686937353  9.6500000       0.18239618       0.18529439
8.69064047  9.7000000       0.20089003       0.18635093
8.694362724  9.7500000       0.20245074       0.18797105
8.698104115  9.8000000       0.19224412       0.18959476
8.701864644  9.8500000       0.17666386       0.18904534
8.705644311  9.9000000       0.16391477       0.18826436
8.709443115  9.9500000       0.14907178       0.18743091
8.713261057  10.000000       0.13084713       0.18653122
8.717098136  10.050000       0.10915773       0.18558508
8.720954353  10.100000       0.86715784E-01   0.18505683
8.724829708  10.150000       0.69300189E-01   0.18475434
8.7287242  10.200000       0.51394357E-01   0.18445257
8.732637829  10.250000       0.25595677E-01   0.18465030
8.736570596  10.300000      -0.15665740E-01   0.18482531
8.740522501  10.350000      -0.58791570E-01   0.18627237
8.744493543  10.400000      -0.93595938E-01   0.18898855
8.748483723  10.450000      -0.11958756       0.19173102
8.75249304  10.500000      -0.13834393       0.19042650
8.756521495  10.550000      -0.14832877       0.18901406
8.760569088  10.600000      -0.15402444       0.18810031
8.764635818  10.650000      -0.16045248       0.18772301
8.768721685  10.700000      -0.16650940       0.18738945
8.77282669  10.750000      -0.17000494       0.18913111
8.776950833  10.800000      -0.17050006       0.19088072
8.781094113  10.850000      -0.16040486       0.18996888
8.785256531  10.900000      -0.11925284       0.18722522
8.789438086  10.950000      -0.68961006E-01   0.19016891
8.793638779  11.000000      -0.42703721E-01   0.21854463
8.797858609  11.050000      -0.54635134E-01   0.24741366
8.802097577  11.100000      -0.73339377E-01   0.25359182
8.806355683  11.150000      -0.73023422E-01   0.25436272
