 name:     copper                                                 Feff 8.10
 formula:  Cu
 sites:    Cu1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, fcc
 Abs   Z=29 Rmt= 1.407 Rnm= 1.452 K  shell
 Pot 1 Z=29 Rmt= 1.353 Rnm= 1.390
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.603E+00 kf=1.992E+00 Vint=-1.688E+01 Rs_int= 1.821
 S02  1.000                                        Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    0/   0 paths used
 -----------------------------------------------------------------------
      k          chi          mag           phase @#
    14.6500    0.000000E+00  0.000000E+00  0.000000E+00
    14.7000    0.000000E+00  0.000000E+00  0.000000E+00
    14.7500    0.000000E+00  0.000000E+00  0.000000E+00
    14.8000    0.000000E+00  0.000000E+00  0.000000E+00
    14.8500    0.000000E+00  0.000000E+00  0.000000E+00
    14.9000    0.000000E+00  0.000000E+00  0.000000E+00
    14.9500    0.000000E+00  0.000000E+00  0.000000E+00
    15.0000    0.000000E+00  0.000000E+00  0.000000E+00
    15.0500    0.000000E+00  0.000000E+00  0.000000E+00
    15.1000    0.000000E+00  0.000000E+00  0.000000E+00
    15.1500    0.000000E+00  0.000000E+00  0.000000E+00
    15.2000    0.000000E+00  0.000000E+00  0.000000E+00
    15.2500    0.000000E+00  0.000000E+00  0.000000E+00
    15.3000    0.000000E+00  0.000000E+00  0.000000E+00
    15.3500    0.000000E+00  0.000000E+00  0.000000E+00
    15.4000    0.000000E+00  0.000000E+00  0.000000E+00
    15.4500    0.000000E+00  0.000000E+00  0.000000E+00
    15.5000    0.000000E+00  0.000000E+00  0.000000E+00
    15.5500    0.000000E+00  0.000000E+00  0.000000E+00
    15.6000    0.000000E+00  0.000000E+00  0.000000E+00
    15.6500    0.000000E+00  0.000000E+00  0.000000E+00
    15.7000    0.000000E+00  0.000000E+00  0.000000E+00
    15.7500    0.000000E+00  0.000000E+00  0.000000E+00
    15.8000    0.000000E+00  0.000000E+00  0.000000E+00
    15.8500    0.000000E+00  0.000000E+00  0.000000E+00
    15.9000    0.000000E+00  0.000000E+00  0.000000E+00
    15.9500    0.000000E+00  0.000000E+00  0.000000E+00
    16.0000    0.000000E+00  0.000000E+00  0.000000E+00
    16.0500    0.000000E+00  0.000000E+00  0.000000E+00
    16.1000    0.000000E+00  0.000000E+00  0.000000E+00
    16.1500    0.000000E+00  0.000000E+00  0.000000E+00
    16.2000    0.000000E+00  0.000000E+00  0.000000E+00
    16.2500    0.000000E+00  0.000000E+00  0.000000E+00
    16.3000    0.000000E+00  0.000000E+00  0.000000E+00
    16.3500    0.000000E+00  0.000000E+00  0.000000E+00
    16.4000    0.000000E+00  0.000000E+00  0.000000E+00
    16.4500    0.000000E+00  0.000000E+00  0.000000E+00
    16.5000    0.000000E+00  0.000000E+00  0.000000E+00
    16.5500    0.000000E+00  0.000000E+00  0.000000E+00
